MassiveID	filename	qiita_sample_name	SampleCollectionDateandTime	YearOfAnalysis	SampleType	ENVOEnvironmentBiome	ATTRIBUTE_	ATTRIBUTE_empo_1	ATTRIBUTE_empo_2	ATTRIBUTE_empo_3	ATTRIBUTE_env_biome	ATTRIBUTE_env_feature	ENVOEnvironmentMaterial	ATTRIBUTE_env_package	ATTRIBUTE_geo_loc_name	Country	ATTRIBUTE_host_subject_id	LatitudeandLongitude	ATTRIBUTE_location	ATTRIBUTE_material	ATTRIBUTE_moisture	ATTRIBUTE_physical_specimen_location	ATTRIBUTE_physical_specimen_remaining	qiita_study_id	ATTRIBUTE_sample_type2	ATTRIBUTE_title	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_1-8.mzML	11950.control.Gypsum.dry.TP0	07/05/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP0	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-4.mzML	11950.control.Gypsum.dry.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-4.mzML	11950.control.Gypsum.dry.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-4.mzML	11950.control.Gypsum.dry.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-4.mzML	11950.control.Gypsum.dry.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-4.mzML	11950.control.Gypsum.dry.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-4.mzML	11950.control.Gypsum.dry.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	Gypsum	dry	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_1-10-mzML.mzML	11950.control.Gypsum.wet.TP0	07/05/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP0	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-8.mzML	11950.control.Gypsum.wet.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-8.mzML	11950.control.Gypsum.wet.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-8.mzML	11950.control.Gypsum.wet.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-8.mzML	11950.control.Gypsum.wet.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-8.mzML	11950.control.Gypsum.wet.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-8.mzML	11950.control.Gypsum.wet.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	Gypsum	wet	U Chicago	False	11950	Gypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_1-7.mzML	11950.control.MDF.dry.TP0	07/05/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP0	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-3.mzML	11950.control.MDF.dry.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-3.mzML	11950.control.MDF.dry.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-3.mzML	11950.control.MDF.dry.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-3.mzML	11950.control.MDF.dry.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-3.mzML	11950.control.MDF.dry.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-3.mzML	11950.control.MDF.dry.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	MDF	dry	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-7.mzML	11950.control.MDF.wet.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-7.mzML	11950.control.MDF.wet.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-7.mzML	11950.control.MDF.wet.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-7.mzML	11950.control.MDF.wet.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-7.mzML	11950.control.MDF.wet.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-7.mzML	11950.control.MDF.wet.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	anthropogenic environmental material	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	MDF	wet	U Chicago	False	11950	MDF	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_1-5.mzML	11950.control.MFGypsum.dry.TP0	07/05/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP0	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-1.mzML	11950.control.MFGypsum.dry.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-1.mzML	11950.control.MFGypsum.dry.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-1.mzML	11950.control.MFGypsum.dry.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-1.mzML	11950.control.MFGypsum.dry.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-1.mzML	11950.control.MFGypsum.dry.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-1.mzML	11950.control.MFGypsum.dry.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	MFGypsum	dry	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-5.mzML	11950.control.MFGypsum.wet.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-5.mzML	11950.control.MFGypsum.wet.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-5.mzML	11950.control.MFGypsum.wet.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-5.mzML	11950.control.MFGypsum.wet.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-5.mzML	11950.control.MFGypsum.wet.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-5.mzML	11950.control.MFGypsum.wet.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	gypsum	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	MFGypsum	wet	U Chicago	False	11950	MFGypsum	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_1-6.mzML	11950.control.Plywood.dry.TP0	07/05/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP0	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-2.mzML	11950.control.Plywood.dry.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-2.mzML	11950.control.Plywood.dry.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-2.mzML	11950.control.Plywood.dry.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-2.mzML	11950.control.Plywood.dry.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_6-2.mzML	11950.control.Plywood.dry.TP5	07/30/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP5	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_7-2.mzML	11950.control.Plywood.dry.TP6	08/04/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP6	41.83|-87.68	control	Plywood	dry	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_2-6.mzML	11950.control.Plywood.wet.TP1	07/10/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP1	41.83|-87.68	control	Plywood	wet	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_3-6.mzML	11950.control.Plywood.wet.TP2	07/15/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP2	41.83|-87.68	control	Plywood	wet	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_4-6.mzML	11950.control.Plywood.wet.TP3	07/20/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP3	41.83|-87.68	control	Plywood	wet	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
MSV000086209	20160906_pgk965_SloanSurfaceProject_Metabolomics_5-6.mzML	11950.control.Plywood.wet.TP4	07/25/2016 12:00	2016	environmental	urban biome	29-Jun	Free-living	Non-saline	Surface (non-saline)	urban biome	anthropogenic environmental material	treated wood	built environment	USA:IL:Chicago	United States of America	TP4	41.83|-87.68	control	Plywood	wet	U Chicago	False	11950	Plywood	Microbial and Metabolic Succession on Common Building Materials Under High Humidity Conditions	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (polar-C18)
