MassiveID	filename	SampleType	ENVOEnvironmentMaterial	UBERONBodyPartName	NCBITaxonomy	LatitudeandLongitude	SampleCollectionDateandTime	DepthorAltitudeMeters	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	Country	HumanPopulationDensity	qiita_sample_name
MSV000085852	CCE2019_3.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-50	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_6.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-7	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_1.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-101	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_5.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-16	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_2.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-66	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_4.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.21	8/10/2019	-36	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_20.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-65	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_19.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-96	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_21.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-51	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_22.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-36	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_23.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-15	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_24.mzXML	environmental	sea water	not applicable	not applicable	36.18|-121.94	8/11/2019	-8	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_18.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-8	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_16.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-36	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_17.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-17	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_15.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-51	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_14.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-66	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_13.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.03	8/11/2019	-96	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_8.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.12	8/11/2019	-66	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
MSV000085852	CCE2019_9.mzXML	environmental	sea water	not applicable	not applicable	36.18|-122.12	8/11/2019	-51	dissolvedorganicmatter_water_saline	2019	liquid, solid phase extraction (PPL)	""	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	United States of America	not applicable	not applicable
